# Party-0 landscape F0(x) D=3 (slice: x0-x1, others=0.5)
# x0 x1 value
0.010101 0.030303 3.206180
0.010101 0.040404 3.438688
0.010101 0.050505 3.497258
0.010101 0.060606 4.308583
0.010101 0.070707 3.979799
0.010101 0.080808 5.111997
0.010101 0.090909 4.715289
0.010101 0.101010 5.825705
0.010101 0.111111 5.697631
0.010101 0.121212 6.542486
0.010101 0.131313 6.836453
0.010101 0.141414 7.424778
0.010101 0.151515 6.220921
0.010101 0.161616 2.975003
0.010101 0.171717 0.550368
0.010101 0.181818 0.550368
0.010101 0.191919 0.550368
0.010101 0.202020 0.550368
0.010101 0.212121 0.550368
0.010101 0.222222 0.550368
0.010101 0.232323 0.550368
0.010101 0.242424 0.550368
0.010101 0.252525 0.550368
0.010101 0.262626 0.550368
0.010101 0.272727 0.550368
0.010101 0.282828 0.550368
0.010101 0.292929 0.550368
0.010101 0.303030 0.550368
0.010101 0.313131 0.550368
0.010101 0.323232 0.550368
0.010101 0.333333 0.550368
0.010101 0.343434 0.550368
0.010101 0.353535 0.550368
0.010101 0.363636 0.550368
0.010101 0.373737 0.550368
0.010101 0.383838 0.550368
0.010101 0.393939 0.550368
0.010101 0.404040 0.550368
0.010101 0.414141 0.550368
0.010101 0.424242 0.550368
0.010101 0.434343 0.550368
0.010101 0.444444 0.550368
0.010101 0.454545 0.550368
0.010101 0.464646 0.550368
0.010101 0.474747 0.550368
0.010101 0.484848 0.550368
0.010101 0.494949 0.550368
0.010101 0.505051 0.550368
0.010101 0.515152 0.550368
0.010101 0.525253 0.550368
0.010101 0.535354 0.550368
0.010101 0.545455 0.550368
0.010101 0.555556 0.550368
0.010101 0.565657 0.550368
0.010101 0.575758 0.550368
0.010101 0.585859 0.550368
0.010101 0.595960 4.333463
0.010101 0.606061 4.333463
0.010101 0.616162 6.036669
0.010101 0.626263 5.886050
0.010101 0.636364 4.333463
0.010101 0.646465 4.333463
0.010101 0.656566 5.319195
0.010101 0.666667 6.386491
0.010101 0.676768 5.736442
0.010101 0.686869 4.939207
0.010101 0.696970 5.098832
0.010101 0.707071 5.785147
0.010101 0.717172 6.010006
0.010101 0.727273 5.649366
0.010101 0.737374 5.435338
0.010101 0.747475 5.706632
0.010101 0.757576 6.116417
0.010101 0.767677 6.221030
0.010101 0.777778 6.133230
0.010101 0.787879 6.222794
0.010101 0.797980 6.507464
0.010101 0.808081 6.731673
0.010101 0.818182 6.841986
0.010101 0.828283 6.813911
0.010101 0.838384 4.568139
0.010101 0.848485 4.333463
0.010101 0.858586 4.333463
0.010101 0.868687 4.333463
0.010101 0.878788 4.333463
0.010101 0.888889 4.333463
0.010101 0.898990 4.333463
0.010101 0.909091 4.333463
0.010101 0.919192 4.333463
0.010101 0.929293 4.333463
0.010101 0.939394 4.333463
0.010101 0.949495 4.333463
0.010101 0.959596 4.333463
0.010101 0.969697 4.333463
0.010101 0.979798 4.333463
0.010101 0.989899 4.333463
0.010101 1.000000 4.333463
0.020202 0.000000 1.304143
0.020202 0.010101 1.770176
0.020202 0.020202 1.609077
0.020202 0.030303 1.868742
0.020202 0.040404 1.974263
